anz
1	17
2	29
3	20
4	29
5	27
6	26
7	30
8	25
9	22
10	27
11	16
12	28
13	19
14	29
15	20
16	24
17	31
18	24
19	30
20	25
21	28
22	25
23	23
24	23
25	17
26	29
27	25
28	26
29	22
30	34
31	27
32	26
33	26
34	20
35	30
36	18
37	28
38	26
39	25
40	28
41	26
42	24
43	29
44	23
45	28
46	21
47	28
48	30
49	20
50	37
51	21
52	21
53	26
54	25
55	21
56	22
57	29
58	28
59	27
60	26
61	32
62	18
63	25
64	29
65	24
66	26
67	30
68	28
69	24
70	23
71	19
72	24
73	28
74	17
75	23
76	24
77	32
78	27
79	17
80	36
81	19
82	24
83	27
84	34
85	24
86	26
87	22
88	24
89	32
90	23
91	27
92	21
93	16
94	25
95	19
96	17
97	14
98	22
99	31
100	13
101	30
102	25
103	20
104	27
105	25
106	23
107	27
108	30
109	30
110	31
111	25
112	25
113	31
114	22
115	25
116	22
117	27
118	18
119	18
120	30
121	26
122	21
123	31
124	27
125	21
126	24
127	23
128	31
129	25
130	25
131	25
132	31
133	19
134	22
135	28
136	22
137	27
138	31
139	19
140	25
141	19
142	30
143	23
144	24
145	29
146	23
147	20
148	33
149	31
150	14
151	27
152	27
153	18
154	33
155	31
156	18
157	24
158	29
159	24
160	14
161	28
162	28
163	30
164	23
165	18
166	18
167	23
168	25
169	27
170	23
171	25
172	24
173	27
174	27
175	25
176	17
177	28
178	19
179	23
180	25
181	27
182	28
183	19
184	25
185	27
186	23
187	27
188	25
189	27
190	24
191	29
192	21
193	27
194	24
195	29
196	26
197	33
198	23
199	28
200	18
201	25
202	27
203	28
204	25
205	21
206	23
207	31
208	19
209	30
210	28
211	18
212	24
213	29
214	21
215	24
216	19
217	24
218	19
219	28
220	21
221	23
222	26
223	26
224	29
225	22
226	24
227	32
228	33
229	29
230	33
231	21
232	28
233	21
234	20
235	19
236	27
237	29
238	24
239	24
240	19
241	27
242	29
243	26
244	24
245	24
246	31
247	29
248	32
249	12
250	19
251	25
252	27
253	17
254	28
255	28
256	22
257	20
258	19
259	24
260	26
261	34
262	29
263	29
264	31
265	20
266	28
267	20
268	21
269	26
270	34
271	23
272	26
273	24
274	26
275	21
276	20
277	22
278	24
279	20
280	29
281	25
282	22
283	22
284	27
285	8
286	22
287	38
288	29
289	23
290	11
291	26
292	23
293	29
294	25
295	30
296	23
297	27
298	29
299	35
300	25
301	16
302	29
303	26
304	17
305	25
306	26
307	26
308	20
309	27
310	25
311	20
312	30
313	29
314	18
315	24
316	26
317	32
318	18
319	19
320	28
321	30
322	21
323	31
324	26
325	26
326	35
327	18
328	33
329	22
330	24
331	28
332	31
333	19
334	15
335	28
336	34
337	25
338	20
339	25
340	23
341	26
342	27
343	27
344	29
345	33
346	18
347	30
348	29
349	25
350	31
351	29
352	24
353	25
354	19
355	33
356	26
357	22
358	29
359	22
360	25
361	28
362	28
363	28
364	30
365	25
366	33
367	20
368	25
369	31
370	23
371	21
372	31
373	24
374	20
375	34
376	26
377	25
378	24
379	36
380	33
381	22
382	25
383	17
384	28
385	21
386	25
387	32
388	26
389	25
390	14
391	21
392	23
393	21
394	21
395	20
396	26
397	25
398	21
399	24
400	23
401	22
402	25
403	26
404	25
405	23
406	22
407	17
408	37
409	26
410	24
411	27
412	24
413	23
414	34
415	24
416	29
417	23
418	28
419	21
420	21
421	27
422	28
423	33
424	23
425	22
426	23
427	24
428	28
429	34
430	29
431	21
432	19
433	27
434	24
435	26
436	23
437	22
438	18
439	34
440	20
441	19
442	27
443	26
444	33
445	24
446	23
447	23
448	26
449	23
450	25
451	41
452	20
453	22
454	28
455	23
456	34
457	29
458	20
459	22
460	22
461	26
462	25
463	21
464	17
465	19
466	35
467	22
468	31
469	18
470	25
471	33
472	29
473	36
474	18
475	24
476	26
477	22
478	34
479	29
480	32
481	25
482	21
483	17
484	24
485	27
486	30
487	28
488	24
489	22
490	28
491	32
492	27
493	30
494	27
495	31
496	24
497	23
498	19
499	17
500	28
501	31
502	30
503	24
504	30
505	30
506	34
507	25
508	28
509	23
510	22
511	16
512	29
513	27
514	32
515	23
516	30
517	28
518	26
519	29
520	26
521	23
522	13
523	26
524	25
525	13
526	30
527	23
528	28
529	20
530	17
531	18
532	27
533	27
534	18
535	25
536	18
537	24
